url,category,clean text
https://www.archaeology.org/news/8706-200520-hominin-hand-bones,Pre-Human,"Study Suggests A. sediba Could Climb and Grasp. CANTERBURY, ENGLAND—According to a statement released by the University of Kent , Christopher Dunmore, Matthew Skinner, and Tracy Kivell suggest that Australopithecus sediba could use its hands to climb trees as well as to manipulate objects in a modern human–like manner. Australopithecus sediba lived about two million years ago, and was a late-surviving member of the ape-like Australopithecus genus, which is thought to have gone extinct about 1.9 million years ago. The researchers examined the internal structure of the knuckles and thumb joints of Australopithecus sediba , Australopithecus africanus , Australopithecus afarensis , Neanderthals, and modern humans. The fossils ranged in age from three million to 12 thousand years old. The study suggests that Australopithecus sediba , unlike other members of the Australopithecus genus, had knuckles associated with being able to grasp branches, and thumb joints consistent with the modern human–like manipulation of objects. "
https://www.archaeology.org/news/8944-200811-poison-arrow-technology,Paleolithic,"Arrow Analysis Pushes Back Origins of Poison-Tip Technology. JOHANNESBURG, SOUTH AFRICA—According to a Science Alert report, Marlize Lombard of the University of Johannesburg suggests that poison-arrow technology may be tens of thousands of years older than previously thought. She analyzed bone-tipped arrowheads dated to the Paleolithic, and compared them to arrows known to have been used with poison, and arrows known to have been used without poison. Typically, arrows used with poison are smaller because they only need to reach an animal’s bloodstream to deliver a deadly substance, while arrows used without poison must inflict a wound that will incapacitate or kill an animal. Lombard found that three out of six bone-pointed arrows recovered from South Africa’s Blombos Cave, dating to between 72,000 and 80,000 years ago, resemble poisoned arrowheads, and are so small that they would probably have been ineffective without an added poison punch. Lombard cautions that further study of a larger sample of Paleolithic arrowheads is needed. "
https://www.archaeology.org/news/8972-200821-egyptian-animal-mummies,Egyptian,"Ancient Egyptian Animal Mummies Viewed with High-Tech Tools. SWANSEA, WALES— Science News reports that Richard Johnston of Swansea University and his colleagues used a micro-CT scanner to create highly detailed 3-D models of mummies held in the university’s Museum of Egyptian Antiquities for virtual examination. The mummies are estimated to be about 2,000 years old. The results of the study were so detailed that the researchers were able to determine that a domestic kitten in a cat-shaped mummy was less than five months old based on its unerupted molars. An oval mummy bundle held the remains of an Egyptian cobra. Rocklike structures placed in the snake’s open mouth may be chunks of natron, a mineral used by ancient Egyptian embalmers to slow decomposition. When preparing the bodies of humans, embalmers often propped open snakes' mouths and eyes so that the dead would be able to see and communicate with the living. Thus, the snake’s open mouth suggests it may have been intended to act as a messenger. A Eurasian kestrel was identified in a third bird-shaped mummy. "
https://www.archaeology.org/news/8550-200327-maine-colonial-ship,Modern,"Colonial-Era Shipwreck Identified in Maine. YORK, MAINE—Researcher Stefan Claesson has determined that the remains of a ship that periodically appear in the shifting sands of southern Maine date to the mid-eighteenth century, according to a Seacoast Online report. The hull currently measures about 50 feet long, but Claesson thinks the narrow vessel was about 60 feet long when it was built. “I believe it is the sloop Defiance ,” Claesson said. “I think the ship is a pink, a type of cargo ship.” Claesson said he mapped the site with a drone and geographic information system technology. Wood samples analyzed by the Cornell University Tree-Ring Laboratory were found to be from trees cut down in 1753. Using that information as a starting point, Claesson then examined notary records kept by Daniel Moulton between 1750 and 1794, and found that the Defiance ran aground in Cape Neddick Cove in 1769. “ Defiance fit every description,” he explained. Additional research revealed that on its last journey, the Defiance left Salem, Massachusetts, and was headed for Portland, Maine’s Casco Bay, carrying a crew of four, flour, pork, and other supplies when it hit rocks in Cape Neddick Cove during a storm. The crew survived, but the ship was lost. Claesson has also recommended procedures to protect the wreckage from further damage. Photographs taken of the ship in the 1950s and the 1970s show that its mast has since been cut off. "
https://www.archaeology.org/news/8909-200807-arabia-fluted-tools,Neolithic,"Fluted Stone Tools Found in Southern Arabia. COLUMBUS, OHIO— Cosmos Magazine reports that 8,000-year-old fluted arrowheads have been uncovered in Yemen and in Oman. Chipping off flakes from a stone to shape it is a highly skilled process that had been previously thought to be limited to toolmakers who lived in North America between 13,000 and 10,000 years ago. In North America, such fluting is usually found near the base of a point, and is thought to have facilitated attaching it to an arrow or spear shaft with string. In contrast, fluting has been found near the tip on points from southern Arabia. “Of course, we can’t say for sure, but we think this was a way for skilled toolmakers to signal something to others, perhaps that one is a good hunter… or dexterous with one’s hands,” said Joy McCorriston of Ohio State University. Michael Petraglia of the Max Planck Institute for the Science of Human History added that the discovery of fluted points in southern Arabia serves as an example of “independent invention” on different continents. "
https://www.archaeology.org/news/9017-200911-italy-pool-complex,Roman,"Monumental Pool Complex Discovered Near Rome. ROME, ITALY— Wanted in Rome reports that a monumental stone basin dated to the fourth century B.C. has been found in an area slated for development between Rome and Ostia Antica, Rome’s ancient port city at the mouth of the Tiber River. The pool measures nearly 160 feet long and 40 feet wide. Archaeologist Barbara Rossi said that researchers do not yet know what purpose the complex served during the eight centuries it was in use. "
https://www.archaeology.org/news/8723-200528-italy-mosaic-floor,Roman,"Roman Villa Uncovered in Northern Italy. NEGRAR, ITALY—According to a report in The Guardian , a well-preserved mosaic floor and foundations of a Roman villa first discovered in 1922 have been uncovered in a vineyard in northern Italy by archaeologists from the Superintendency of Archaeology, Fine Arts, and Landscape of Verona. The villa is thought to date to the third century A.D. The researchers are still working on mapping the structure’s footprint. "
https://www.archaeology.org/news/9081-201006-israel-heated-tools,Pre-Human,"Hominins in Israel May Have Controlled Fire 300,000 Years Ago. REHOVOT, ISRAEL—According to a Gizmodo Australia report, hominins living in central Israel’s Qesem Cave some 300,000 years ago heated their flint at varying temperatures before knapping it into different tools. Heating the stone would have given the toolmakers more control of the knapping process, but if done incorrectly, the rock would have broken and become unusable. Archaeologist Filipe Natalio of the Weizmann Institute of Science in Israel and his colleagues evaluated two types of flint tools recovered from Qesem Cave with spectroscopic chemical analysis, and then heated flint samples in a laboratory oven in order to estimate the temperatures to which the ancient stones had been heated. They found that the blades had been heated to nearly 500 degrees Fahrenheit, while the flakes had been heated to 775 degrees. Pot lids recovered from the cave had been heated to more than 800 degrees Fahrenheit. While the study suggests that hominins were able to control fire and manage the resources necessary to keep it burning, the scientists still do not know the techniques the hominins might have employed. "
https://www.archaeology.org/news/8667-200501-hungary-elongated-heads,Roman,"Did Skull Shapes Mark Social Changes in the Roman Empire?. SZEKSZÁRD, HUNGARY—A new study led by Corina Knipper of the Curt Engelhorn Center of Archaeometry suggests that central Europeans who practiced skull-binding lived alongside other cultures in the Roman province of Pannonia Valeria, in what is now western Hungary, during the political instability of the fifth century A.D., according to a Live Science report. The researchers divided the remains of individuals from 96 graves in the Mözs cemetery, 51 of which had elongated skulls, into three generations who lived between A.D. 430 and 470. The oldest remains in the cemetery were interred in Roman-style graves. The middle group was buried in a different manner, and the last burials in the cemetery combined practices of Roman and other traditions. Modified skulls were found in all three groups. About 30 percent of the oldest burials had elongated heads, while about 65 percent of the middle group and 70 percent of the last group showed signs of head binding. The researchers noted that the placement of grooves in the skulls changed over time, indicating that different binding techniques were used among different groups. Chemical analysis of the bones showed that some of the later residents had been born near the cemetery, while others had settled there after growing up somewhere else. The researchers concluded that residents of Pannonia Valeria mingled and adopted each other’s cultural habits as the Roman Empire collapsed. "
https://www.archaeology.org/news/8848-200710-silk-road-cat,Medieval,"House Cat Remains Found at Medieval Village in Kazakhstan. HALLE, GERMANY—According to a statement released by Martin Luther University of Halle-Wittenberg (MLU), researchers from MLU, Korkyt-Ata Kyzylorda State University, the University of Tübingen, and Russia’s Higher School of Economics analyzed a nearly complete cat skeleton unearthed at a medieval village site in southern Kazakhstan and determined the feline was likely kept as a pet. Located along the Silk Road, the village was home to the Oghuz, who were Turkic pastoralists. Ashleigh Haruda of MLU said the eighth-century tomcat had several healed broken bones, and had likely been fed by humans because it had lost all of its teeth. She added that the feline’s remains were only recovered because the animal had been buried, in contrast to most of the other animal bones recovered from the site, which were found individually. In addition, the chemical composition of the cat bones indicates the animal was fed a diet that contained more protein than dogs whose remains have been found at the site, and to other cats that lived during the same time period. Finally, genetic analysis suggests the cat belonged to the domesticated species Felis catus Linnaeus . The keeping of a pet cat is thought to be an unusual practice for the Oghuz and may be a sign of cultural exchange brought about by contact with Silk Road traders, Haruda and her team concluded. "
https://www.archaeology.org/news/8829-200629-washington-pipe-residue,Native American,"New Plant Identified in 1,400-Year-Old Pipe in Washington. PULLMAN, WASHINGTON—According to a statement released by Washington State University , researchers have detected traces of smooth sumac, or Rhus glabra , in residues on 1,400-year-old pipes unearthed in central Washington with new technology that can detect thousands of plant compounds. Traces of a species of tobacco plant not currently grown in the region were also detected in the pipes. Korey Brownstein of the University of Chicago suggests smooth sumac may have been mixed with tobacco for its medicinal qualities. It may have also improved the flavor of the smoke, he added. Analysis of residues in a pipe used by Native Americans in the period after contact with Europeans detected the presence of a tobacco plant grown by Native Americans living on the East Coast. Researcher Shannon Tushingham said it had been previously thought that plants grown by Europeans had come to dominate the post-contact trade in tobacco. "
https://www.archaeology.org/news/8895-200730-england-stonehenge-sarsens,Neolithic,"Origin of Stonehenge Sarsen Stones Revealed. WILTSHIRE, ENGLAND— The New York Times reports that 50 of the 52 sarsen stones at Stonhenge, the roughly 5,000-year-old Neolithic-period henge monument on England's Salisbury Plain, were quarried at a location roughly fifteen miles away. Using a combination of geochemical and statistical analyses, a multidisciplinary team of archaeologists and geologists identified a chemical signature for the megaliths, including all 15 standing stones that form the site's iconic inner horseshoe. They compared this signature to other chemical signatures taken from sarsens—a vernacular term for duricrust silcrete—at 20 sites across Great Britain. The dataset comparison resulted in a single match, an area on the southern edge of Wiltshire's Marlborough Downs called West Woods. The visual similarity of sarsen boulders on the Marlborough Downs to the Stonehenge megaliths led historian and writer William Lambarde to suggest the Downs as the origin for the monument's sarsens as early as the sixteenth century. Antiquarian John Aubrey postulated a specific connection between West Woods and Stonehenge a century later. However, s cholars have known for decades that the smaller, so-called bluestones near the center of Stonehenge were dragged, rolled, or carried there from a quarry some 180 miles away in Wales, so the team did not rule out the possibility that the sarsens were imported from a great distance. "
https://www.archaeology.org/news/8805-200618-estonia-cemetery-found,Medieval,"Historic Cemetery Unearthed in Estonia. SILLAMÄE, ESTONIA— ERR reports that skeletons dating from the sixteenth through eighteenth centuries were unearthed in eastern Estonia during a construction project. Martin Malve of the University of Tartu thinks the site may have been a cemetery. “I would suggest that local people were buried because we find men, women, and children,” he explained. “But we also have a double burial, where two men are buried in the one grave; it is possible that this was the result of a plague.” Further study of the remains could reveal more about who the people were and the state of their health, Malve added. "
https://www.archaeology.org/news/8529-200317-iran-rock-art,Paleolithic,"Possible Insect Rock Art Found in Iran. TEHRAN, IRAN—According to a statement released by Pensoft , a five- and one-half-inch petroglyph in central Iran has been described as a possible part man, part praying mantis by entomologists Mahmood Kolnegari of Islamic Azad University of Arak, Mandana Hazrati of Avaye Dornaye Khakestari Institute, Matan Shelomi of National Taiwan University, and archaeologist Mohammad Naserifard. Mantises have bulging eyes, flexible necks, elongated bodies, and enlarged forelegs for gripping prey such as flies, bees, and sometimes small birds. The image depicts a creature with six limbs, including grasping forearms, and middle limbs that end in loops or circles. It also has a triangular head topped with an extension resembling that found on the local species of mantis. The artwork is estimated to be between 4,000 and 40,000 years old. "
https://www.archaeology.org/news/8698-200515-tanzania-footprints-trackway,Paleolithic,"Ancient Hunter-Gatherers’ Footprints Preserved in Tanzania. PITTSBURGH, PENNSYLVANIA— CNN reports that Kevin Hatala of Chatham University and his colleagues have analyzed more than 400 footprints in 17 trackways at the site of Engare Sero in northern Tanzania. The footprints were found in volcanic mudflow that dried and hardened between 5,760 and 19,100 years ago, before it was covered with layers of protective sediments. Based on comparisons with footprints made by living people, the study suggests these footprints were left behind by 14 adult females, two adult males, and one juvenile male traveling in a group. The researchers then compared the footprint patterns with those made by modern hunter-gatherers, such as the Hadza of Tanzania and the Aché of Paraguay. “One scenario in which this kind of group structure is observed is during cooperative foraging activities, in which several adult females forage together, perhaps accompanied by one or two adult males for some portion of that time,” Hatala explained. “Infants may be carried, but young children who are old enough to walk will often stay behind rather than participate in foraging activities.” "
https://www.archaeology.org/news/8797-200615-lithuania-mass-grave,Medieval,"Medieval Grave in Europe Yields Trace of Tropical Malady. JENA, GERMANY—According to a statement released by the Max Planck Society for the Science of Human History , molecular paleopathologist Kirsten Bos and her colleagues looked for DNA evidence of disease in human remains discovered in a fifteenth-century mass grave in a cemetery in Vilnius, Lithuania. The study indicates that many of them died of the plague, but one of the women also suffered from yaws, a disease related to modern syphilis that is only found today in the tropics. Bos said the yaws genome was only slightly different than the ancestor of all known yaws varieties in humans and other primates, suggesting it developed about 1,000 years ago. The presence of yaws in the medieval grave, she added, could be related to a European outbreak of disease that began in the late fifteenth century, which has usually been attributed to syphilis and the return of Christopher Columbus and his crew from their first New World voyage. Thus, the presence of the yaws genome in a medieval grave suggests questions still exist about the origin of syphilis in Europe, she explained. "
https://www.archaeology.org/news/8845-200709-australia-aboriginal-stone-tools,Paleolithic,"Hundreds of Stone Tools Discovered in New South Wales. GRIFFITH, AUSTRALIA— ABC News Australia reports that 271 stone tools known as bipolar flakes have been discovered at a construction site at Griffith Base Hospital. Some of the artifacts were likely moved to the site amid loads of gravel in recent times, according to archaeologist Jillian Comber, while others are believed to have been there for thousands of years, suggesting that Aboriginal people made camp in the area. ""These tools were used for cutting and scraping food, cutting up plant matter, or scraping timber for wood working,” said Comber. She adds that the flakes may also have been used to make shields, canoes, and “coolamons,” a type of vessel used to carry water or food. The Griffith Local Aboriginal Land Council plans to apply to be the repository for the artifacts and to be able to decide how and where they will be kept. "
https://www.archaeology.org/news/8544-200325-india-manuscripts-conserved,South&Southeast Asia,"Conservators in India Treat Historic Palm-Leaf Manuscripts. KAKINADA, INDIA— The Hindu reports that conservators from India’s State Department of Archaeology and Museums are treating some 1,600 palm-leaf manuscripts held at the Andhra Sahitya Parishad Archaeology Museum and Research Institute in southeastern India to protect them from insects. Each of the manuscripts, which date to the seventeenth, eighteenth, and nineteenth centuries, is about 500 pages long. The texts include the fields of Ayurveda, mathematics, astrology, music, and literature such as the Ramayana and Mahabharata. Once the manuscripts have been chemically treated they will be covered in cotton fabric for additional protection in storage. "
https://www.archaeology.org/news/8799-200616-ecuador-artifacts-repatriated,Pre-Columbian,"Canadian Scholars Repatriate Artifacts to Ecuador. QUITO, ECUADOR— La Prensa Latina reports that researchers from Canada’s University of Calgary have handed over to Ecuador 166 crates of human remains and artifacts belonging to the Valdivia culture, including a type of well-known ceramic figurine known as the “Venus of Valdivia.” The objects date to between 3800 and 1500 B.C., and were unearthed in southwestern Ecuador in the early 1980s. “They didn’t just return objects and fragments, but all of the scientific information,” explained Joaquin Moscoso of Ecuador’s National Institute of Cultural Patrimony. Florencio Delgado of San Francisco de Quito University said Canadian research over the past 40 years has shown that some of the earliest ceramics in southwestern Ecuador were made by people who lived inland. It had been previously thought that the region’s earliest ceramics were made by people who lived along the coast. Delgado added that future research will include DNA studies of the bones in the collection, in order to try to determine how the area was settled. "
https://www.archaeology.org/news/8721-200528-china-sanmenxia-swan,East Asia,"2,200-Year-Old Swan-Shaped Bronze Vessel Found in China. HENAN PROVINCE, CHINA— China.org reports that a 2,200-year-old tomb has been excavated in central China, at an ancient city site situated along the route between the two ancient capitals of Xi’an and Luoyang. According to Zhu Xiaodong of the Sanmenxia Institute of Cultural Relics and Archaeology, the tomb may have belonged to a low-ranking official buried around 200 B.C., at the time of the transfer from the Qin Dynasty to the Han Dynasty. Among the artifacts in the tomb, researchers found a bronze helmet, a bronze basin, swords made of iron and jade, and a bronze pot with a long, swan-shaped neck that contained about 100 ounces of liquid. The realistic sculpture is thought to have been modeled after a live swan. “We can boldly estimate that swans may have appeared in Sanmenxia during the late Qin and early Han dynasties,” Zhu said. The yellow-brown liquid found within the pot will be analyzed. "
https://www.archaeology.org/news/9046-200924-spain-shakespeare-play,Medieval,"17th-Century English Book Found in College Library in Spain. MADRID, SPAIN— BBC News reports that John Stone of the University of Barcelona has found a 1634 printing of The Two Noble Kinsmen , a play written by William Shakespeare with John Fletcher, a house playwright for the theater group the King’s Men. The play appears in a book of English plays held at the Royal Scots College, which is now located in Salamanca, Spain. In the seventeenth century, the college was located in Madrid, and was a rare source of English literature for Spanish intellectuals. “By the 1630s English plays were increasingly associated with elite culture,” Stone explained. Based on Geoffrey Chaucer’s fourteenth-century poem The Knight’s Tale , Two Noble Kinsmen was written around 1613 or 1614, and is thought to have been one of Shakespeare’s last works before he died in 1616. “It is likely these plays arrived as part of some student’s personal library or at the request of the rector of the Royal Scots College, Hugh Semple, who was friends with the Spanish playwright Lope de Vega and had more plays in his personal library,” Stone said. The book remains in its original leather binding, he added. "
https://www.archaeology.org/news/8839-200707-mexico-ochre-mining,Paleolithic,"Ochre Mines Identified in Mexico’s Flooded Caves. MEXICO CITY, MEXICO—The Associated Press reports that hearths, smoke marks, firewood, stacked mining debris, pieces of broken stalagmites, stone tools, navigational aids, and digging sites have been found in flooded caves in the Yucatan peninsula. The remains of nine individuals dating back some 13,000 years have also been found in the caves, which flooded some 8,000 years ago. The artifacts suggest that people entered the cave system to mine tons of iron-rich red ochre, which was used in decorations and rituals. “Now we know that ancient humans did not risk entering this maze of caves just to get water or flee from predators, but that they also entered them to mine,” explained Roberto Junco Sánchez of Mexico’s National Institute of Anthropology and History. "
https://www.archaeology.org/news/8910-200807-genome-interbreeding,Pre-Human,"Algorithm Detects Gene Flow Between Archaic Humans. ITHACA, NEW YORK—According to a statement released by PLOS Genetics , Melissa Hubisz and Amy Williams of Cornell University and Adam Siepel of Cold Spring Harbor Laboratory developed an algorithm to identify tiny segments of DNA from other species in genomes. When they analyzed ancient genomes belonging to two Neanderthals, a Denisovan, and two modern people from Africa, the researchers found evidence that three percent of the Neanderthal genome came from interbreeding with ancient humans some 200,000 to 300,000 years ago. About one percent of the Denisovan genome is thought to have come from an unidentified relative that may have been Homo erectus . About 15 percent of this genetic material may have been passed on to today’s modern humans. The researchers conclude that groups of ancient humans are likely to have mixed more frequently than previously thought. "
https://www.archaeology.org/news/8847-200710-roman-clear-glass,Roman,"Scientists Analyze Composition of Rome’s Clear Glass. AARHUS, DENMARK—According to a statement released by Aarhus University , scientists from the Danish National Research Foundation, Aarhus University, and the University of Münster have developed a technique to distinguish between clear glass manufactured in Egypt and in the Levant during the Roman period. Although clear glass was known in fourth-century A.D. Rome as “Alexandrian” glass, archaeologists have not found furnaces for clear glass production in Egypt. Such furnaces have, however, been found in the Levant. The new technique measures the isotopes of the rare element hafnium in the glass, which can then be matched to the sands used to make the glass, said Gry Barfod of Aarhus University. The study indicates that so-called Alexandrian glass was indeed made in Egypt. Sand from the Nile, the researchers explained, contained lime to keep the high-quality glass stable. Antimony was added to make it crystal clear. Meanwhile, in the Levant, manganese was added to the mix to produce transparent glass. "
